"ID","n_N","n_gap","length","year","lineage","previous"
"MN726819",320,135,11481,2013,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"MN726830",7,135,11794,2018,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"JX473838",0,15,11921,2009,"A1.2.3","Cosmopolitan AF1b"
"JX473839",0,15,11921,2009,"A1.2.3","Cosmopolitan AF1b"
"JX473840",0,15,11921,2009,"A1.2.3","Cosmopolitan AF1b"
"JX473841",0,15,11921,2009,"A1.2.3","Cosmopolitan AF1b"
"KF155002",0,14,11922,2010,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"KR534217",0,14,11922,2008,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KR534218",0,14,11922,2008,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KR534219",0,14,11922,2007,"A1.2.2","Cosmopolitan AF1b"
"KR534220",0,14,11922,2008,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KR534228",0,23,11913,2010,"A1.2.2","Cosmopolitan AF1b"
"KR534229",0,87,11849,2010,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KR534230",0,51,11885,2010,"G1","Cosmopolitan AF1b"
"KR534231",0,52,11884,2010,"A1.2.2","Cosmopolitan AF1b"
"KR534232",0,14,11922,2011,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KR534233",0,14,11922,2011,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KR534234",0,14,11922,2011,"A1.2.2","Cosmopolitan AF1b"
"KR534235",0,14,11922,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KR534236",0,14,11922,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KR534237",0,14,11922,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KR534238",0,71,11865,2011,"A1.2.2","Cosmopolitan AF1b"
"KR534244",0,23,11913,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534245",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534246",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534247",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534248",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534249",0,19,11917,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534250",0,14,11922,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KR534251",0,14,11922,2011,"A1.2.2","Cosmopolitan AF1b"
"KR534252",0,14,11922,2011,"A1.2.2","Cosmopolitan AF1b"
"KR534253",0,15,11921,2011,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KR534254",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR534256",0,16,11920,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KR906734",0,14,11922,2008,"A1.2.2","Cosmopolitan AF1b"
"KR906735",0,33,11903,2008,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KR906736",0,14,11922,2008,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KR906737",1,17,11918,2008,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KR906738",0,14,11922,2004,"Cosmopolitan AF1b_B1","Cosmopolitan AF1b"
"KR906739",0,14,11922,2004,"A1.2.2","Cosmopolitan AF1b"
"KR906740",5,23,11908,2009,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"KR906741",0,14,11922,2003,"Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"KR906742",0,14,11922,2009,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"KR906743",2,23,11911,2010,"A1.2.2","Cosmopolitan AF1b"
"KR906744",0,23,11913,2010,"A1.2.2","Cosmopolitan AF1b"
"KR906745",0,23,11913,2010,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KR906746",0,61,11875,2010,"A1.2.1","Cosmopolitan AF1b"
"KR906747",0,14,11922,2010,"A1.2.1","Cosmopolitan AF1b"
"KR906748",0,14,11922,2010,"A1.2","Cosmopolitan AF1b"
"KR906749",0,58,11878,2010,"Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"KR906750",0,82,11854,2010,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"KR906751",0,22,11914,2011,"A1.2.1","Cosmopolitan AF1b"
"KR906752",0,14,11922,2011,"A1.2","Cosmopolitan AF1b"
"KR906753",0,14,11922,2011,"Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"KR906754",0,71,11865,2011,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"KR906755",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR906756",1,14,11921,2011,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KR906757",8,46,11882,2010,"A1.2.1","Cosmopolitan AF1b"
"KR906758",2,111,11823,2010,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR906759",113,107,11716,2010,"A1.2.2","Cosmopolitan AF1b"
"KR906760",0,17,11919,2010,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KR906761",1,280,11655,2010,"Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"KR906762",0,23,11913,2010,"Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"KR906763",0,17,11919,2010,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KR906764",0,22,11914,2010,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KR906765",0,14,11922,2010,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KR906766",0,23,11913,2010,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KR906767",0,23,11913,2011,"Cosmopolitan AF1b_A1.1.2","Cosmopolitan AF1b"
"KR906768",0,58,11878,2011,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"KR906769",1,14,11921,2011,"G1","Cosmopolitan AF1b"
"KR906770",2,23,11911,2011,"G1","Cosmopolitan AF1b"
"KR906771",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR906772",0,14,11922,2011,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KR906773",0,14,11922,2011,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KR906774",0,16,11920,2011,"A1.2.2","Cosmopolitan AF1b"
"KR906775",0,82,11854,2011,"Cosmopolitan AF1b_A1.1","Cosmopolitan AF1b"
"KR906776",0,14,11922,2011,"G1","Cosmopolitan AF1b"
"KR906777",0,14,11922,2011,"G1","Cosmopolitan AF1b"
"KR906778",0,23,11913,2011,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KR906779",1,17,11918,2012,"A1.2.2","Cosmopolitan AF1b"
"KR906780",0,17,11919,2011,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KR906781",0,14,11922,2012,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KR906782",0,18,11918,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR906783",0,14,11922,2012,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KR906784",0,14,11922,2012,"G1","Cosmopolitan AF1b"
"KR906785",0,15,11921,2012,"A1.2.2","Cosmopolitan AF1b"
"KR906786",0,14,11922,2012,"Cosmopolitan AF1b_B1","Cosmopolitan AF1b"
"KR906787",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KR906788",1,18,11917,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KR906789",0,14,11922,2012,"G1","Cosmopolitan AF1b"
"KR906790",0,14,11922,2012,"A1.2.2","Cosmopolitan AF1b"
"KR906791",746,120,11070,2012,"A1.2.2","Cosmopolitan AF1b"
"KR906792",0,14,11922,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KT336432",0,14,11922,2012,"C1.1","Cosmopolitan AF1b"
"KT336433",0,14,11922,1991,"A1.2","Cosmopolitan AF1b"
"KT336434",0,14,11922,1992,"A1.2.1","Cosmopolitan AF1b"
"KT336435",0,14,11922,1993,"C1","Cosmopolitan AF1b"
"KT336436",0,14,11922,2012,"C1","Cosmopolitan AF1b"
"KT336437",0,15,11921,2012,"C1","Cosmopolitan AF1b"
"KX148103",0,14,11922,1981,"A1.2.1","Cosmopolitan AF1b"
"KX148203",0,135,11801,1986,"C1","Cosmopolitan AF1b"
"KX148204",0,136,11800,1992,"A1.2.3","Cosmopolitan AF1b"
"KX148205",0,135,11801,1994,"Cosmopolitan AF1b_A1","Cosmopolitan AF1b"
"KX148206",0,135,11801,1996,"A1.2.2","Cosmopolitan AF1b"
"KX148207",0,135,11801,2014,"A1.2.2","Cosmopolitan AF1b"
"KX148208",0,135,11801,1992,"A1.2","Cosmopolitan AF1b"
"KY210220",0,23,11913,2008,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KY210221",147,24,11765,2008,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KY210222",0,14,11922,2009,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"KY210223",0,23,11913,2007,"A1.2.2","Cosmopolitan AF1b"
"KY210224",0,14,11922,2010,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210225",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210226",1,17,11918,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210227",0,23,11913,2011,"G1","Cosmopolitan AF1b"
"KY210228",194,80,11662,2011,"Cosmopolitan AF1b_B1","Cosmopolitan AF1b"
"KY210229",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210230",0,14,11922,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210231",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210232",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210233",0,14,11922,2011,"G1","Cosmopolitan AF1b"
"KY210234",8,23,11905,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210235",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210236",0,23,11913,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210237",0,16,11920,2011,"G1","Cosmopolitan AF1b"
"KY210238",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210239",0,14,11922,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210240",0,52,11884,2011,"G1","Cosmopolitan AF1b"
"KY210241",0,31,11905,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210242",0,14,11922,2011,"G1","Cosmopolitan AF1b"
"KY210243",0,23,11913,2011,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210244",0,80,11856,2011,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210245",0,14,11922,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210246",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210247",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210248",0,14,11922,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210249",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210250",0,17,11919,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210251",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210252",0,14,11922,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210253",0,14,11922,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210254",0,15,11921,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210255",0,14,11922,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210256",0,14,11922,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210257",0,14,11922,2013,"G1","Cosmopolitan AF1b"
"KY210258",0,15,11921,2013,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210259",0,17,11919,2013,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210260",6,39,11891,2013,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210261",0,14,11922,2013,"G1","Cosmopolitan AF1b"
"KY210262",0,14,11922,2013,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210263",0,14,11922,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210264",0,14,11922,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210265",0,14,11922,2013,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210266",0,14,11922,2013,"A1.2.2","Cosmopolitan AF1b"
"KY210267",0,14,11922,2013,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"KY210268",0,14,11922,2013,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210269",0,14,11922,2013,"G1","Cosmopolitan AF1b"
"KY210270",0,14,11922,2013,"G1","Cosmopolitan AF1b"
"KY210271",0,14,11922,2013,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210272",0,14,11922,2013,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210273",0,14,11922,2013,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210274",0,14,11922,2013,"G1","Cosmopolitan AF1b"
"KY210275",0,23,11913,2013,"Cosmopolitan AF1b_A1.1","Cosmopolitan AF1b"
"KY210276",0,14,11922,2013,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210277",0,14,11922,2011,"G1","Cosmopolitan AF1b"
"KY210278",0,17,11919,2011,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210279",8,74,11854,2011,"G1","Cosmopolitan AF1b"
"KY210280",5,14,11917,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210281",0,14,11922,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210282",0,67,11869,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210283",0,14,11922,2012,"G1","Cosmopolitan AF1b"
"KY210284",17,23,11896,2012,"G1","Cosmopolitan AF1b"
"KY210285",0,14,11922,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210286",0,15,11921,2011,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210287",7,63,11866,2012,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210288",0,15,11921,2012,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210289",0,17,11919,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210290",0,17,11919,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210291",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210292",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210293",0,22,11914,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210294",0,16,11920,2012,"G1","Cosmopolitan AF1b"
"KY210295",0,14,11922,2012,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210296",0,14,11922,2012,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210297",0,14,11922,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210298",0,17,11919,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210299",0,23,11913,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210300",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210301",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210302",0,17,11919,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210303",0,14,11922,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210304",0,14,11922,2012,"G1","Cosmopolitan AF1b"
"KY210305",0,14,11922,2012,"Cosmopolitan AF1b_B1.3","Cosmopolitan AF1b"
"KY210306",0,14,11922,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210307",0,14,11922,2012,"Cosmopolitan AF1b_B1.1.1","Cosmopolitan AF1b"
"KY210308",0,61,11875,2012,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"KY210309",0,31,11905,2012,"A1.2.2","Cosmopolitan AF1b"
"KY210310",0,45,11891,2012,"G1","Cosmopolitan AF1b"
"KY210311",0,17,11919,2012,"A1.2.2","Cosmopolitan AF1b"
"LC029889",0,14,11922,2009,"Cosmopolitan AF1b_A1.1","Cosmopolitan AF1b"
"LT909528",0,14,11922,2018,"A1.2.2","Cosmopolitan AF1b"
"LT909534",0,14,11922,2018,"A1.2.2","Cosmopolitan AF1b"
"LT909536",0,14,11922,2018,"Cosmopolitan AF1b_A1.1","Cosmopolitan AF1b"
"MG458318",0,19,11917,2008,"C1","Cosmopolitan AF1b"
"MN726802",562,782,10592,2016,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726803",217,3358,8361,2018,"Cosmopolitan AF1b_A1.1.1","Cosmopolitan AF1b"
"MN726804",0,14,11922,2015,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"MN726807",587,1299,10050,2017,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726808",1,130,11805,2016,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726809",689,804,10443,2016,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726811",661,1981,9294,2017,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"MN726814",6,90,11840,2018,"A1.2.2","Cosmopolitan AF1b"
"MN726815",0,68,11868,2015,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726816",158,338,11440,2018,"A1.2.2","Cosmopolitan AF1b"
"MN726817",306,303,11327,2016,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726818",0,68,11868,2015,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726820",19,117,11800,2017,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726821",71,737,11128,2018,"A1.2.2","Cosmopolitan AF1b"
"MN726822",762,1678,9496,2018,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"MN726823",505,1173,10258,2017,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726824",150,304,11482,2016,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"MN726825",4,204,11728,2015,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726826",80,68,11788,2016,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"MN726827",284,68,11584,2017,"Cosmopolitan AF1b_C1","Cosmopolitan AF1b"
"MN726828",649,1230,10057,2017,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MN726829",470,1239,10227,2017,"A1.2.2","Cosmopolitan AF1b"
"MN726831",9,90,11837,2013,"A1.2.2","Cosmopolitan AF1b"
"MN726832",313,1851,9772,2017,"Cosmopolitan AF1b_B1.1","Cosmopolitan AF1b"
"MN726833",171,456,11309,2017,"A1.2.2","Cosmopolitan AF1b"
"MN726835",244,611,11081,2017,"Cosmopolitan AF1b_B1.2","Cosmopolitan AF1b"
"MT454631",0,14,11922,2015,"C1.1","Cosmopolitan AF1b"
"MT454632",0,35,11901,2015,"A1.2.3","Cosmopolitan AF1b"
"MT454633",0,29,11907,2015,"A1.2.3","Cosmopolitan AF1b"
"MT454634",0,14,11922,2015,"C1.1","Cosmopolitan AF1b"
"MT454635",0,14,11922,2015,"C1.1","Cosmopolitan AF1b"
"MT454636",0,14,11922,2016,"C1.1","Cosmopolitan AF1b"
"MT454637",0,14,11922,2016,"C1.1","Cosmopolitan AF1b"
"MT454638",0,14,11922,2016,"A1.2.3","Cosmopolitan AF1b"
"MT454639",0,14,11922,2016,"C1.1","Cosmopolitan AF1b"
"MT454640",0,14,11922,2016,"A1.2.3","Cosmopolitan AF1b"
"MT454641",0,14,11922,2016,"C1.1","Cosmopolitan AF1b"
"MT454642",0,14,11922,2016,"A1.2.3","Cosmopolitan AF1b"
"MT454643",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454644",0,14,11922,2017,"A1.2.1","Cosmopolitan AF1b"
"MT454645",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454646",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454647",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454648",0,14,11922,2017,"C1.1","Cosmopolitan AF1b"
"MT454649",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454650",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454651",0,15,11921,2017,"A1.2.3","Cosmopolitan AF1b"
"MT454652",0,14,11922,2017,"C1.1","Cosmopolitan AF1b"
"MT454653",0,14,11922,2017,"C1.1","Cosmopolitan AF1b"
"MT454654",0,14,11922,2017,"C1.1","Cosmopolitan AF1b"
"KX148209",0,136,11800,2004,"A1.2","Cosmopolitan AF1c"
"KX148210",0,136,11800,1998,"A1.2","Cosmopolitan AF1c"
"KX148211",0,136,11800,1986,"A1.2","Cosmopolitan AF1c"
"KF154998",0,12,11924,1950,"A1.3","Cosmopolitan AF4"
"KX148101",0,13,11923,1979,"A1.3","Cosmopolitan AF4"
"MG458315",0,13,11923,1998,"A1.3","Cosmopolitan AF4"
"MG458316",0,13,11923,1998,"A1.3","Cosmopolitan AF4"
"MG458317",0,13,11923,1999,"A1.3","Cosmopolitan AF4"
"MK760768",0,214,11722,2007,"A1.3","Cosmopolitan AF4"
"MK760769",0,213,11723,2009,"A1.3","Cosmopolitan AF4"
"MK760770",0,214,11722,2009,"A1.3","Cosmopolitan AF4"
"AB645847",0,135,11801,2012,"A1.3","Cosmopolitan AM1"
"JQ685944",0,135,11801,1984,"A1.3","Cosmopolitan AM1"
"JQ685967",0,135,11801,2012,"A1.3","Cosmopolitan AM1"
"KX148213",0,135,11801,1982,"A1.3","Cosmopolitan AM1"
"HQ450386",0,15,11921,2011,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KT006769",0,14,11922,2013,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KX148102",0,14,11922,1991,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KX148110",0,134,11802,1991,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KX148111",0,134,11802,1991,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
"KX148112",0,135,11801,1991,"Cosmopolitan AM2a_A1","Cosmopolitan AM2a"
