"","ID","N","gap","Length_before","Length_after","Year","cluster","country"
"51","KY210267",0,119,12042,11923,2013,"AF1b_A1.1.4","Tanzania"
"52","KR906756",0,119,12042,11923,2011,"AF1b_A1.1.4","Tanzania"
"53","MN726815",0,110,12042,11932,2015,"AF1b_E1.1","Tanzania"
"54","MN726825",0,161,12042,11881,2015,"AF1b_E1.1","Tanzania"
"55","KY210268",0,116,12042,11926,2013,"AF1b_E1.1","Tanzania"
"56","KR906778",0,169,12042,11873,2011,"AF1b_E1.1","Tanzania"
"57","KY210278",0,119,12042,11923,2011,"AF1b_E1.1","Tanzania"
"58","KY210295",0,119,12042,11923,2012,"AF1b_E1","Tanzania"
"59","KY210296",0,119,12042,11923,2012,"AF1b_E1","Tanzania"
"60","KY210288",0,119,12042,11923,2012,"AF1b_E1","Tanzania"
"61","KR906781",0,128,12042,11914,2012,"AF1b_E1","Tanzania"
"62","KY210287",0,193,12042,11849,2012,"AF1b_E1","Tanzania"
"63","KR906780",0,157,12042,11885,2011,"AF1b_G1","Tanzania"
"64","KY210286",0,158,12042,11884,2011,"AF1b_G1","Tanzania"
"65","KY210308",0,119,12042,11923,2012,"AF1b_G1","Tanzania"
"66","KR534253",0,119,12042,11923,2011,"AF1b_G1","Tanzania"
"67","KR906773",0,119,12042,11923,2011,"AF1b_G1","Tanzania"
"68","MN726823",0,119,12042,11923,2017,"AF1b_A1.1.1","Tanzania"
"69","MN726834",0,119,12042,11923,2017,"AF1b_A1.1.1","Tanzania"
"70","MN726820",0,119,12042,11923,2017,"AF1b_A1.1.1","Tanzania"
"71","MN726808",0,175,12042,11867,2016,"AF1b_A1.1.1","Tanzania"
"72","MN726817",0,128,12042,11914,2016,"AF1b_A1.1.1","Tanzania"
"73","MN726806",0,119,12042,11923,2017,"AF1b_A1.1.1","Tanzania"
"74","MN726818",0,119,12042,11923,2015,"AF1b_A1.1.1","Tanzania"
"75","MN726807",0,119,12042,11923,2017,"AF1b_H1","Tanzania"
"76","MN726813",0,119,12042,11923,2017,"AF1b_H1","Tanzania"
"77","MN726802",0,125,12042,11917,2016,"AF1b_H1","Tanzania"
"78","MN726809",0,119,12042,11923,2016,"AF1b_H1","Tanzania"
"79","MN726828",0,119,12042,11923,2017,"AF1b_H1","Tanzania"
"80","MN726835",0,119,12042,11923,2017,"AF1b_A1.1.1","Tanzania"
"81","KR906788",0,120,12042,11922,2012,"AF1b_I1","Tanzania"
"82","KR906792",0,119,12042,11923,2012,"AF1b_I1","Tanzania"
"83","KY210297",0,121,12042,11921,2012,"AF1b_I1","Tanzania"
"84","KY210298",0,119,12042,11923,2012,"AF1b_I1","Tanzania"
"85","KY210305",0,139,12042,11903,2012,"AF1b_I1","Tanzania"
"86","KY210248",0,119,12042,11923,2012,"AF1b_A1.1.3","Tanzania"
"87","KY210262",1,122,12042,11919,2013,"AF1b_A1.1.3","Tanzania"
"88","KY210303",0,119,12042,11923,2012,"AF1b_A1.1.3","Tanzania"
"89","KR534256",0,119,12042,11923,2011,"AF1b_A1.1.3","Tanzania"
"90","KR534236",5,128,12042,11909,2011,"AF1b_A1.1.3","Tanzania"
"91","KR534237",0,119,12042,11923,2011,"AF1b_A1.1.3","Tanzania"
"92","KR534235",0,119,12042,11923,2011,"AF1b_A1.1.3","Tanzania"
"93","KY210224",2,128,12042,11912,2010,"AF1b_A1.1.3","Tanzania"
"94","KY210265",0,128,12042,11914,2013,"AF1b_A1.1.3","Tanzania"
"95","KY210273",0,128,12042,11914,2013,"AF1b_A1.1.3","Tanzania"
"96","KY210244",0,167,12042,11875,2011,"AF1b_A1.1.3","Tanzania"
"97","KY210276",0,119,12042,11923,2013,"AF1b_A1.1.3","Tanzania"
"98","KR534250",0,119,12042,11923,2011,"AF1b_A1.1.3","Tanzania"
"99","KY210236",0,164,12042,11878,2011,"AF1b_A1.1.3","Tanzania"
"100","KY210226",0,188,12042,11854,2011,"AF1b_A1.1.3","Tanzania"
"101","KY210230",0,127,12042,11915,2011,"AF1b_A1.1.3","Tanzania"
"102","KY210228",0,119,12042,11923,2011,"AF1b_A1.1","Tanzania"
"103","KR906786",0,120,12042,11922,2012,"AF1b_A1.1","Tanzania"
"104","KR906738",0,177,12042,11865,2004,"AF1b_A1.1","Tanzania"
"105","KR534218",0,119,12042,11923,2008,"AF1b_A1.1.5","Tanzania"
"106","KR534220",1,119,12042,11922,2008,"AF1b_A1.1.5","Tanzania"
"107","KR906737",8,152,12042,11882,2008,"AF1b_A1.1.5","Tanzania"
"108","KY210220",2,217,12042,11823,2008,"AF1b_A1.1.5","Tanzania"
"109","KR534217",113,213,12042,11716,2008,"AF1b_A1.1.5","Tanzania"
"110","KY210222",0,122,12042,11920,2009,"AF1b_A1.1.5","Tanzania"
"111","KY210221",170,197,12042,11675,2008,"AF1b_A1.1","Tanzania"
"112","KR906783",0,128,12042,11914,2012,"AF1b_A1.1","Tanzania"
"113","KR906745",0,122,12042,11920,2010,"AF1b_A1.1","Tanzania"
"114","MN726803",0,128,12042,11914,2018,"AF1b_A1.1","Tanzania"
"115","LT909536",0,119,12042,11923,2018,"AF1b_A1.1","-"
"116","KR906775",0,128,12042,11914,2011,"AF1b_A1.1","Tanzania"
"117","KY210275",0,128,12042,11914,2013,"AF1b_A1.1","Tanzania"
"118","KF155002",0,164,12042,11878,2010,"AF1b_J1","Tanzania"
"119","MN726804",1,119,12042,11922,2015,"AF1b_J1","Tanzania"
"120","KR906768",2,128,12042,11912,2011,"AF1b_J1","Tanzania"
"121","KR906742",0,119,12042,11923,2009,"AF1b_J1","Tanzania"
"122","KR906754",0,119,12042,11923,2011,"AF1b_J1","Tanzania"
"123","KR906750",0,119,12042,11923,2010,"AF1b_J1","Tanzania"
"124","MN726824",0,121,12042,11921,2016,"AF1b_A1.3.1","Tanzania"
"125","MN726827",0,188,12042,11854,2017,"AF1b_A1.3.1","Tanzania"
"126","MN726826",0,119,12042,11923,2016,"AF1b_A1.3.1","Tanzania"
"127","KR906740",0,119,12042,11923,2009,"AF1b_A1.3.1","Tanzania"
"128","KR906762",0,128,12042,11914,2010,"AF1b_A1.3","Tanzania"
"129","KR906767",1,122,12042,11919,2011,"AF1b_A1.3","Tanzania"
"130","KR906761",0,122,12042,11920,2010,"AF1b_A1.3","Tanzania"
"131","KR906749",0,119,12042,11923,2010,"AF1b_A1.3","Tanzania"
"132","KR906741",0,123,12042,11919,2003,"AF1b_A1.3","Tanzania"
"133","KR906753",0,119,12042,11923,2011,"AF1b_A1.3","Tanzania"
"134","LC029889",0,119,12042,11923,2009,"AF1b_A1","Uganda"
"135","KR906764",0,120,12042,11922,2010,"AF1b_A1.4","Tanzania"
"136","KR906765",0,119,12042,11923,2010,"AF1b_A1.4","Tanzania"
"137","KR906763",0,119,12042,11923,2010,"AF1b_A1.4","Tanzania"
"138","KR906735",1,123,12042,11918,2008,"AF1b_A1.4","Tanzania"
"139","KR906736",0,119,12042,11923,2008,"AF1b_A1.4","Tanzania"
"140","KR906766",0,119,12042,11923,2010,"AF1b_A1","Tanzania"
"141","KX148205",804,168,12042,11070,1994,"AF1b_A1","Rwanda"
"142","KY210269",0,119,12042,11923,2013,"AF1b_B1.2.1","Tanzania"
"143","KY210270",0,120,12042,11922,2013,"AF1b_B1.2.1","Tanzania"
"144","KY210274",0,119,12042,11923,2013,"AF1b_B1.2.1","Tanzania"
"145","KY210257",0,119,12042,11923,2013,"AF1b_B1.2.1","Tanzania"
"146","KR906789",0,119,12042,11923,2012,"AF1b_B1.2.1","Tanzania"
"147","KR906776",0,119,12042,11923,2011,"AF1b_B1.2","Tanzania"
"148","KY210237",0,119,12042,11923,2011,"AF1b_B1.2","Tanzania"
"149","KY210242",0,119,12042,11923,2011,"AF1b_B1.2","Tanzania"
"150","KY210279",0,169,12042,11873,2011,"AF1b_B1.2","Tanzania"
"151","KR534230",0,169,12042,11873,2010,"AF1b_B1.2","Tanzania"
"152","KY210240",0,119,12042,11923,2011,"AF1b_B1.2","Tanzania"
"153","KY210304",0,120,12042,11922,2012,"AF1b_B1.2","Tanzania"
"154","KY210284",0,120,12042,11922,2012,"AF1b_K1","Tanzania"
"155","KY210310",0,119,12042,11923,2012,"AF1b_K1","Tanzania"
"156","KY210277",0,240,12042,11802,2011,"AF1b_K1","Tanzania"
"157","KY210283",0,240,12042,11802,2012,"AF1b_K1","Tanzania"
"158","KR906777",0,240,12042,11802,2011,"AF1b_K1","Tanzania"
"159","KY210261",0,240,12042,11802,2013,"AF1b_K1","Tanzania"
"160","KY210233",0,240,12042,11802,2011,"AF1b_B1.3.1","Tanzania"
"161","KR906770",0,240,12042,11802,2011,"AF1b_B1.3.1","Tanzania"
"162","KY210227",0,240,12042,11802,2011,"AF1b_B1.3","Tanzania"
"163","KR906784",0,240,12042,11802,2012,"AF1b_B1.3","Tanzania"
"164","KY210294",0,239,12042,11803,2012,"AF1b_B1.3","Tanzania"
"165","KR906769",0,242,12042,11800,2011,"AF1b_B1","Tanzania"
"166","KY210253",0,242,12042,11800,2013,"AF1b_B1.4.1","Tanzania"
"167","KY210256",0,242,12042,11800,2013,"AF1b_B1.4.1","Tanzania"
"168","KY210254",0,241,12042,11801,2013,"AF1b_B1.4.1","Tanzania"
"169","KY210255",0,241,12042,11801,2013,"AF1b_B1.4.1","Tanzania"
"170","KY210266",0,241,12042,11801,2013,"AF1b_B1.4.1","Tanzania"
"171","KY210264",0,241,12042,11801,2013,"AF1b_B1.4","Tanzania"
"172","MN726829",0,241,12042,11801,2017,"AF1b_B1.4","Tanzania"
"173","MN726833",0,241,12042,11801,2017,"AF1b_B1.4","Tanzania"
"174","MN726816",0,241,12042,11801,2018,"AF1b_B1","Kenya"
"175","KR534231",0,241,12042,11801,2010,"AF1b_D1.1","Tanzania"
"176","KR534234",0,241,12042,11801,2011,"AF1b_D1.1","Tanzania"
"177","KR534228",0,241,12042,11801,2010,"AF1b_D1.1","Tanzania"
"178","KR906785",0,241,12042,11801,2012,"AF1b_D1.1","Tanzania"
"179","KY210285",0,241,12042,11801,2012,"AF1b_D1.1","Tanzania"
"180","KR534238",0,241,12042,11801,2011,"AF1b_D1.1","Tanzania"
"181","KR906759",0,241,12042,11801,2010,"AF1b_D1.1","Tanzania"
"182","KR906743",0,242,12042,11800,2010,"AF1b_D1","Tanzania"
"183","KY210280",0,242,12042,11800,2012,"AF1b_D1","Tanzania"
"184","KY210282",0,241,12042,11801,2012,"AF1b_D1","Tanzania"
"185","KR906791",0,242,12042,11800,2012,"AF1b_D1","Tanzania"
"186","KR534251",0,241,12042,11801,2011,"AF1b_B1.1.1","Tanzania"
"187","KY210281",0,241,12042,11801,2012,"AF1b_B1.1.1","Tanzania"
"188","KR906774",0,241,12042,11801,2011,"AF1b_B1.1.1","Tanzania"
"189","KY210306",0,240,12042,11802,2012,"AF1b_B1.1.1","Tanzania"
"190","KR534219",0,241,12042,11801,2007,"AF1b_B1.1","Tanzania"
"191","KR906734",0,241,12042,11801,2008,"AF1b_B1.1","Tanzania"
"192","KY210223",0,241,12042,11801,2007,"AF1b_B1","Tanzania"
"193","MN726814",0,241,12042,11801,2018,"AF1b_B1","Kenya"
"194","MN726821",0,241,12042,11801,2018,"AF1b_B1","Kenya"
"195","MN726831",0,241,12042,11801,2013,"AF1b_B1","Kenya"
"196","KX148207",0,241,12042,11801,2014,"AF1b_A1.2.1","Kenya"
"197","KR906739",0,241,12042,11801,2004,"AF1b_A1.2.1","Tanzania"
"198","KR906744",0,240,12042,11802,2010,"AF1b_A1.2.1","Tanzania"
"199","KR906790",0,241,12042,11801,2012,"AF1b_L1","Tanzania"
"200","KY210252",0,241,12042,11801,2012,"AF1b_L1","Tanzania"
"201","KY210245",0,241,12042,11801,2012,"AF1b_L1","Tanzania"
"202","KY210311",0,240,12042,11802,2012,"AF1b_L1","Tanzania"
"203","KY210263",0,241,12042,11801,2013,"AF1b_L1","Tanzania"
"204","KR906779",0,241,12042,11801,2012,"AF1b_A1.2.2","Tanzania"
"205","KY210309",0,241,12042,11801,2012,"AF1b_A1.2.2","Tanzania"
"206","KR534252",0,241,12042,11801,2011,"AF1b_A1.2.2","Tanzania"
"207","LT909528",0,241,12042,11801,2018,"AF1b_A1.2","-"
"208","LT909534",0,241,12042,11801,2018,"AF1b_A1.2","-"
"209","KX148206",0,241,12042,11801,1996,"AF1b_A1","Tanzania"
"210","KT336432",0,241,12042,11801,2012,"AF1b_A1.5","South Africa"
"211","KT336436",0,240,12042,11802,2012,"AF1b_A1.5","South Africa"
"212","KX148203",0,241,12042,11801,1986,"AF1b_A1.5","Mozambique"
"213","KT336435",0,241,12042,11801,1993,"AF1b_A1.5","Zimbabwe"
"214","KT336437",0,241,12042,11801,2012,"AF1b_A1.5","South Africa"
"215","MG458318",0,241,12042,11801,2008,"AF1b_A1.5","South Africa"
"216","KR906746",0,241,12042,11801,2010,"AF1b_A1.6","Tanzania"
"217","KR906747",0,241,12042,11801,2010,"AF1b_A1.6","Tanzania"
"218","KR906751",0,241,12042,11801,2011,"AF1b_A1.6","Tanzania"
"219","KR906757",0,241,12042,11801,2010,"AF1b_A1.6","Tanzania"
"220","KT336434",0,241,12042,11801,1992,"AF1b_A1.6","Zimbabwe"
"221","KX148103",0,241,12042,11801,1981,"AF1b_A1","South Africa"
"222","JX473838",0,241,12042,11801,2009,"AF1b_A1.7","Namibia"
"223","JX473839",0,241,12042,11801,2009,"AF1b_A1.7","Namibia"
"224","JX473840",0,241,12042,11801,2009,"AF1b_A1.7","Namibia"
"225","JX473841",0,241,12042,11801,2009,"AF1b_A1.7","Namibia"
"226","KX148204",0,241,12042,11801,1992,"AF1b_A1.7","Namibia"
"227","KT336433",0,241,12042,11801,1991,"AF1b_A1","Zimbabwe"
"228","KX148208",0,241,12042,11801,1992,"AF1b_A1","Central African Republic"
"229","KR906748",0,241,12042,11801,2010,"AF1b_A1","Tanzania"
"230","KR906752",0,241,12042,11801,2011,"AF1b_A1","Tanzania"
"231","KX148209",0,241,12042,11801,2004,"A1.2","Madagascar"
"232","KX148210",0,241,12042,11801,1998,"A1.2","Madagascar"
"233","KX148211",0,241,12042,11801,1986,"A1.2","Madagascar"
"234","MN726805",0,241,12042,11801,2017,"AF1a_B1","Kenya"
"235","MN726812",0,241,12042,11801,2017,"AF1a_B1","Kenya"
"236","MN726830",0,241,12042,11801,2018,"AF1a_B1","Kenya"
"237","MN726810",0,240,12042,11802,2015,"AF1a_B1","Kenya"
"238","MN726819",0,240,12042,11802,2013,"AF1a_B1","Kenya"
"239","LT909531",0,237,12042,11805,2018,"A1","-"
"240","KX148200",0,237,12042,11805,1988,"AF1a_C1","Ethiopia"
"241","LT909551",0,238,12042,11804,2018,"AF1a_C1","-"
"242","KP723638",0,238,12042,11804,2014,"AF1a_C1","Ethiopia"
"243","KX148198",0,238,12042,11804,1993,"AF1a_C1","Somalia"
"244","KX148199",0,238,12042,11804,1993,"AF1a_C1","Somalia"
"245","MK981888",0,238,12042,11804,1993,"A1","Tunisia"
"246","KX148195",0,235,12042,11807,2004,"AF1a_A1.1","Morocco"
"247","KX148196",0,237,12042,11805,1990,"AF1a_A1.1","Morocco"
"248","KF155001",0,238,12042,11804,2009,"AF1a_A1.1","Morocco"
"249","KX148193",0,241,12042,11801,2008,"AF1a_A1.1","Morocco"
"250","KX148194",0,242,12042,11800,1989,"AF1a_A1.1","Morocco"
"251","LT909529",0,241,12042,11801,2018,"AF1a_A1","-"
"252","LT909542",0,241,12042,11801,2018,"AF1a_A1","-"
"253","LT909535",0,241,12042,11801,2018,"AF1a_A1","-"
"254","KX148197",0,240,12042,11802,2015,"AF1a_A1","Algeria"
"255","GQ412744",0,241,12042,11801,1931,"C1.1.1","China"
"256","JN234411",0,241,12042,11801,1931,"C1.1.1","China"
"257","DQ875051",0,241,12042,11801,2006,"C1.1.1","China"
"258","AB044824",0,240,12042,11802,2000,"C1.1.1","-"
"259","AB128149",0,241,12042,11801,2003,"C1.1.1","-"
"260","AB009663",0,239,12042,11803,1997,"C1.1.1","-"
"261","EF542830",0,239,12042,11803,2008,"C1.1","Russia"
"262","KM198893",0,240,12042,11802,2014,"C1.1","Russia"
"263","KX148201",0,238,12042,11804,1986,"C1","Nigeria"
"264","KX148202",0,248,12042,11794,1995,"C1","Gabon"
"265","LT909546",0,248,12042,11794,2018,"C1","-"
"266","MK760696",0,248,12042,11794,2012,"ME1a_C1.1.1","Iran"
"267","MK760726",0,249,12042,11793,2013,"ME1a_C1.1.1","Iran"
"268","MK760704",0,249,12042,11793,2012,"ME1a_C1.1.1","Iran"
"269","MK760758",0,244,12042,11798,2014,"ME1a_C1.1.1","Iran"
"270","MK760738",0,128,12042,11914,2014,"ME1a_C1.1.1","Iran"
"271","MK760699",147,130,12042,11765,2012,"ME1a_C1.1","Iran"
"272","MK760745",0,119,12042,11923,2014,"ME1a_C1.1.2","Iran"
"273","MK760754",0,128,12042,11914,2014,"ME1a_C1.1.2","Iran"
"274","MK760741",0,119,12042,11923,2013,"ME1a_C1.1.2","Iran"
"275","MK760720",0,119,12042,11923,2013,"ME1a_C1.1.2","Iran"
"276","MK760671",1,122,12042,11919,2008,"ME1a_C1.1.2","Iran"
"277","MK760736",0,128,12042,11914,2014,"ME1a_C1.1.3","Iran"
"278","MK760737",194,186,12042,11662,2013,"ME1a_C1.1.3","Iran"
"279","MK760724",0,119,12042,11923,2013,"ME1a_C1.1.3","Iran"
"280","MK760694",0,119,12042,11923,2009,"ME1a_C1.1.3","Iran"
"281","MK760740",0,119,12042,11923,2013,"ME1a_C1.1.3","Iran"
"282","MK760670",0,119,12042,11923,2008,"ME1a_C1.1","Iran"
"283","MK760674",0,119,12042,11923,2008,"ME1a_C1.1","Iran"
"284","MK760705",8,128,12042,11906,2012,"ME1a_C1.3","Iran"
"285","MK760750",0,119,12042,11923,2014,"ME1a_C1.3","Iran"
"286","MK760722",0,128,12042,11914,2013,"ME1a_C1.3","Iran"
"287","MK760689",0,122,12042,11920,2010,"ME1a_C1.3","Iran"
"288","MK760698",0,119,12042,11923,2012,"ME1a_C1.3","Iran"
"289","MK760716",0,119,12042,11923,2013,"ME1a_C1","Iran"
"290","MK760685",0,158,12042,11884,2009,"ME1a_C1.4","Iran"
"291","MK760725",0,137,12042,11905,2013,"ME1a_C1.4","Iran"
"292","MK760752",0,119,12042,11923,2014,"ME1a_C1.4","Iran"
"293","MK760703",0,128,12042,11914,2012,"ME1a_C1.4","Iran"
"294","MK760749",0,184,12042,11858,2014,"ME1a_C1.4","Iran"
"295","MK760762",0,119,12042,11923,2014,"ME1a_C1.4","Iran"
"296","MK760732",0,119,12042,11923,2014,"ME1a_C1","Iran"
"297","MK760693",0,119,12042,11923,2009,"ME1a_C1","Iran"
"298","MK760708",0,119,12042,11923,2012,"ME1a_C1.2.1","Iran"
"299","MK760767",0,119,12042,11923,2015,"ME1a_C1.2.1","Iran"
"300","MK760721",0,122,12042,11920,2013,"ME1a_C1.2.1","Iran"
"301","MK760713",0,119,12042,11923,2013,"ME1a_C1.2.1","Iran"
"302","MK760748",0,119,12042,11923,2014,"ME1a_C1.2.1","Iran"
"303","MK760733",0,119,12042,11923,2014,"ME1a_C1.2","Iran"
"304","MK760765",0,120,12042,11922,2014,"ME1a_C1.2","Iran"
"305","MK760677",0,119,12042,11923,2009,"ME1a_C1","Iran"
"306","MK760701",0,119,12042,11923,2012,"ME1a_C1","Iran"
"307","MK760695",0,119,12042,11923,2011,"ME1a_B1.1.1","Iran"
"308","MK760742",0,120,12042,11922,2014,"ME1a_B1.1.1","Iran"
"309","MK760715",0,122,12042,11920,2013,"ME1a_B1.1.1","Iran"
"310","KX148185",6,145,12042,11891,1996,"ME1a_B1.1.1","Iran"
"311","MK760681",0,119,12042,11923,2009,"ME1a_B1.1","Iran"
"312","MK760697",0,119,12042,11923,2012,"ME1a_B1.1","Iran"
"313","MK760683",0,119,12042,11923,2009,"ME1a_B1.1","Iran"
"314","MK760763",0,119,12042,11923,2014,"ME1a_B1.1","Iran"
"315","MK760669",0,119,12042,11923,2008,"ME1a_B1","Iran"
"316","MK760751",0,119,12042,11923,2014,"ME1a_B1","Iran"
"317","MK760759",0,119,12042,11923,2014,"ME1a_B1","Iran"
"318","LT909526",0,119,12042,11923,2018,"ME1a_A1.1.1","-"
"319","MK760673",0,119,12042,11923,2008,"ME1a_A1.1.1","Iran"
"320","MK760710",0,119,12042,11923,2013,"ME1a_A1.1.1","Iran"
"321","MK760727",0,119,12042,11923,2013,"ME1a_D1","Iran"
"322","MK760728",0,119,12042,11923,2014,"ME1a_D1","Iran"
"323","MK760709",0,119,12042,11923,2012,"ME1a_D1","Iran"
"324","MK760739",0,119,12042,11923,2013,"ME1a_D1","Iran"
"325","MK760764",0,128,12042,11914,2014,"ME1a_D1","Iran"
"326","MK760688",0,119,12042,11923,2009,"ME1a_A1.1.2","Iran"
"327","MK760668",0,119,12042,11923,2008,"ME1a_A1.1.2","Iran"
"328","MK760686",0,122,12042,11920,2009,"ME1a_A1.1.2","Iran"
"329","MK760667",29,139,12042,11874,2008,"ME1a_A1.1.5","Iran"
"330","MK760692",5,119,12042,11918,2009,"ME1a_A1.1.5","Iran"
"331","MK760672",0,119,12042,11923,2008,"ME1a_A1.1.5","Iran"
"332","MK760678",0,173,12042,11869,2009,"ME1a_A1.1.5","Iran"
"333","KX148186",0,119,12042,11923,1984,"ME1a_A1.1.5","Iran"
"334","LT909533",17,128,12042,11897,2018,"ME1a_E1","-"
"335","LT909540",0,119,12042,11923,2018,"ME1a_E1","-"
"336","KX148168",0,120,12042,11922,1987,"ME1a_E1","Saudi Arabia"
"337","KX148169",7,169,12042,11866,1990,"ME1a_E1","Oman"
"338","KX148170",0,120,12042,11922,1990,"ME1a_E1","Oman"
"339","KX148171",0,122,12042,11920,1991,"ME1a_E1","United Arab Emirates"
"340","KX148172",0,122,12042,11920,1987,"ME1a_A1.1.3","Saudi Arabia"
"341","KX148174",0,119,12042,11923,1998,"ME1a_A1.1.3","Saudi Arabia"
"342","KX148175",0,119,12042,11923,1998,"ME1a_A1.1.3","Saudi Arabia"
"343","KX148173",0,127,12042,11915,1997,"ME1a_A1.1.3","Saudi Arabia"
"344","KX148176",0,122,12042,11920,2004,"ME1a_A1.1.3","Saudi Arabia"
"345","KX148177",0,119,12042,11923,1996,"ME1a_A1.1","Israel"
"346","KX148178",0,119,12042,11923,1996,"ME1a_A1.1","Israel"
"347","KX148179",0,119,12042,11923,1996,"ME1a_A1.1","Israel"
"348","KX148180",0,122,12042,11920,1993,"ME1a_A1.1","Israel"
"349","KX148181",0,128,12042,11914,1996,"ME1a_A1.1","Israel"
"350","KX148182",0,119,12042,11923,1996,"ME1a_A1.1","Israel"
"351","KX148183",0,119,12042,11923,1993,"ME1a_A1.1","Israel"
"352","KX148184",0,122,12042,11920,1996,"ME1a_A1.1","Israel"
"353","KY860604",0,119,12042,11923,2000,"ME1a_A1.1","Turkey"
"354","KY860605",0,119,12042,11923,2001,"ME1a_A1.1","Turkey"
"355","MK760680",0,119,12042,11923,2008,"ME1a_F1","Iran"
"356","MK760719",0,119,12042,11923,2013,"ME1a_F1","Iran"
"357","MK760687",0,119,12042,11923,2009,"ME1a_F1","Iran"
"358","MK760691",0,167,12042,11875,2009,"ME1a_F1","Iran"
"359","KX148190",0,136,12042,11906,1976,"ME1a_F1","Iran"
"360","KX148187",0,151,12042,11891,1996,"ME1a_A1.1.4","Iran"
"361","KX148188",0,123,12042,11919,1991,"ME1a_A1.1.4","Iran"
"362","KX148189",0,158,12042,11884,1985,"ME1a_A1.1","Iran"
"363","KY860606",0,120,12042,11922,2001,"ME1a_A1","Turkey"
"364","KY860611",0,119,12042,11923,2001,"ME1a_A1","Turkey"
