taxa	attrib1
MK760728	Cosmopolitan ME1a
MK760732	Cosmopolitan ME1a
MK760733	Cosmopolitan ME1a
MK760736	Cosmopolitan ME1a
MK760737	Cosmopolitan ME1a
MK760738	Cosmopolitan ME1a
MK760739	Cosmopolitan ME1a
MK760740	Cosmopolitan ME1a
MK760741	Cosmopolitan ME1a
MK760742	Cosmopolitan ME1a
MK760745	Cosmopolitan ME1a
MK760748	Cosmopolitan ME1a
MK760749	Cosmopolitan ME1a
MK760750	Cosmopolitan ME1a
MK760751	Cosmopolitan ME1a
MK760752	Cosmopolitan ME1a
MK760754	Cosmopolitan ME1a
MK760758	Cosmopolitan ME1a
MK760759	Cosmopolitan ME1a
MK760762	Cosmopolitan ME1a
MK760763	Cosmopolitan ME1a
MK760764	Cosmopolitan ME1a
MK760765	Cosmopolitan ME1a
MK760767	Cosmopolitan ME1a
MN534896	Cosmopolitan ME1a
MN534897	Cosmopolitan ME1a
KX148191	Cosmopolitan ME1b
KX148192	Cosmopolitan ME1b
KX148162	Cosmopolitan ME2
KX148163	Cosmopolitan ME2
KX148164	Cosmopolitan ME2
KX148165	Cosmopolitan ME2
KX148166	Cosmopolitan ME2
KX148167	Cosmopolitan ME2
KY860583	Cosmopolitan ME2
KY860584	Cosmopolitan ME2
KY860585	Cosmopolitan ME2
KY860586	Cosmopolitan ME2
KY860587	Cosmopolitan ME2
KY860588	Cosmopolitan ME2
KY860589	Cosmopolitan ME2
KY860590	Cosmopolitan ME2
KY860591	Cosmopolitan ME2
KY860592	Cosmopolitan ME2
KY860593	Cosmopolitan ME2
KY860594	Cosmopolitan ME2
KY860595	Cosmopolitan ME2
KY860596	Cosmopolitan ME2
KY860597	Cosmopolitan ME2
KY860598	Cosmopolitan ME2
KY860599	Cosmopolitan ME2
KY860600	Cosmopolitan ME2
KY860601	Cosmopolitan ME2
KY860602	Cosmopolitan ME2
KY860603	Cosmopolitan ME2
KY860607	Cosmopolitan ME2
KY860608	Cosmopolitan ME2
KY860609	Cosmopolitan ME2
KY860612	Cosmopolitan ME2
MK760711	Cosmopolitan ME2
MK760714	Cosmopolitan ME2
MK760717	Cosmopolitan ME2
MK760718	Cosmopolitan ME2
MK760730	Cosmopolitan ME2
MK760743	Cosmopolitan ME2
MK760746	Cosmopolitan ME2
JQ944704	Cosmopolitan NEE
KF154997	Cosmopolitan NEE
KX148146	Cosmopolitan NEE
KX148147	Cosmopolitan NEE
KX148148	Cosmopolitan NEE
KX148149	Cosmopolitan NEE
KX148150	Cosmopolitan NEE
KX148151	Cosmopolitan NEE
KX148152	Cosmopolitan NEE
KX148153	Cosmopolitan NEE
KX148154	Cosmopolitan NEE
KX148155	Cosmopolitan NEE
KX148156	Cosmopolitan NEE
KX148157	Cosmopolitan NEE
KX148158	Cosmopolitan NEE
LT909532	Cosmopolitan NEE
LT909537	Cosmopolitan NEE
LT909538	Cosmopolitan NEE
MF197743	Cosmopolitan NEE
MK598346	Cosmopolitan NEE
MK598347	Cosmopolitan NEE
MK598348	Cosmopolitan NEE
MK598349	Cosmopolitan NEE
MK598350	Cosmopolitan NEE
MK598351	Cosmopolitan NEE
MK598352	Cosmopolitan NEE
MK598353	Cosmopolitan NEE
MK598354	Cosmopolitan NEE
MK598355	Cosmopolitan NEE
MK598356	Cosmopolitan NEE
MK598357	Cosmopolitan NEE
MK598358	Cosmopolitan NEE
MK598359	Cosmopolitan NEE
MK598360	Cosmopolitan NEE
MK598361	Cosmopolitan NEE
MK598362	Cosmopolitan NEE
MK598363	Cosmopolitan NEE
MK598364	Cosmopolitan NEE
MK598365	Cosmopolitan NEE
MK598366	Cosmopolitan NEE
MK598367	Cosmopolitan NEE
MK598368	Cosmopolitan NEE
MK598369	Cosmopolitan NEE
MK598370	Cosmopolitan NEE
MK598371	Cosmopolitan NEE
MK598372	Cosmopolitan NEE
MK598373	Cosmopolitan NEE
MK598374	Cosmopolitan NEE
MK598375	Cosmopolitan NEE
MK598376	Cosmopolitan NEE
MK598377	Cosmopolitan NEE
MK598378	Cosmopolitan NEE
MK598379	Cosmopolitan NEE
MK598380	Cosmopolitan NEE
MK598381	Cosmopolitan NEE
MK598382	Cosmopolitan NEE
MK598383	Cosmopolitan NEE
MK598384	Cosmopolitan NEE
MK598385	Cosmopolitan NEE
MK598386	Cosmopolitan NEE
MK598387	Cosmopolitan NEE
MK598388	Cosmopolitan NEE
MK598389	Cosmopolitan NEE
MK598390	Cosmopolitan NEE
MK598391	Cosmopolitan NEE
MK598392	Cosmopolitan NEE
MK598393	Cosmopolitan NEE
MK598394	Cosmopolitan NEE
MK598395	Cosmopolitan NEE
MK598396	Cosmopolitan NEE
MK598397	Cosmopolitan NEE
EU293115	Cosmopolitan WE
KX148125	Cosmopolitan WE
KX148126	Cosmopolitan WE
KX148127	Cosmopolitan WE
KX148128	Cosmopolitan WE
KX148129	Cosmopolitan WE
KX148130	Cosmopolitan WE
KX148131	Cosmopolitan WE
KX148132	Cosmopolitan WE
KX148133	Cosmopolitan WE
KX148134	Cosmopolitan WE
KX148135	Cosmopolitan WE
LN879481	Cosmopolitan WE
MG458310	Cosmopolitan WE
KX148104	Cosmopolitan YUGCOW
MG458309	Cosmopolitan YUGCOW
KX148161	Cosmopolitan YUGFOX
